"id","teamname","descrip","teamgeom"
1,"Abilene Christian","Abilene Christian University, Abilene, Texas","0101000020E61000001349F4328AED58C050A73CBA113C4040"
2,"Arizona State","Arizona State University, Tempe, Arizona","0101000020E6100000BADD263765FB5BC04414387E4DB64040"
3,"Auburn","Auburn University, Auburn, Alabama","0101000020E61000003425FECDB05F55C078EBA122F34B4040"
4,"Baylor","Baylor University, Waco, Texas","0101000020E610000012B23DC4504758C09B16612FB98C3F40"
5,"Belmont","Belmont University, Nashville, Tennessee","0101000020E61000003BCF8E0AD2B255C0AB9910CE02114240"
6,"Bradley","Bradley University, Peoria, Illinois","0101000020E610000016A6EF35846756C0CECBBCB090594440"
7,"Buffalo","University at Buffalo, Buffalo, New York","0101000020E61000003CC2C47A7EB253C02E84E6841A804540"
8,"Cincinnati","University of Cincinnati, Cincinnati, Ohio","0101000020E6100000963D096CCE2055C09225732CEF904340"
9,"Colgate","Colgate University, Hamilton, New York","0101000020E6100000AD20BC2C5CE252C0A2EE0390DA684540"
10,"Duke","Duke University, Durham, North Carolina","0101000020E6100000004BF8EF0BBC53C0712F7AB82E004240"
11,"Fairleigh Dickinson","Fairleigh Dickinson University, Madison, New Jersey","0101000020E6100000DA9C39DAA79B52C0C0F0A54B5A634440"
12,"Florida","University of Florida, Gainesville, Florida","0101000020E61000003757282DB79654C089247A19C5A43D40"
13,"Florida State","Florida State University, Tallahassee, Florida","0101000020E610000004EE2F711A1355C014D44BE71E713E40"
14,"Gardner-Webb","Gardner Webb University, Boiling Springs, North Carolina","0101000020E6100000BC7FE2B6EC6A54C00C395BE5AE9F4140"
15,"Georgia State","Georgia State University, Atlanta, Georgia","0101000020E6100000680F6A75A81855C002D53F8864E04040"
16,"Gonzaga","Gonzaga University, Spokane, Washington","0101000020E61000007B2A4C84B2595DC0F60027254ED54740"
17,"Houston","University of Houston, Houston, Texas","0101000020E61000005426EB26E7D557C08A4A34924EB83D40"
18,"Iona","Iona College, New Rochelle, New York","0101000020E6100000B7291E17557252C0311BAE1FAC764440"
19,"Iowa","The University of Iowa, Iowa City, Iowa","0101000020E6100000A563737A83E356C011D77B3BD3D44440"
20,"Iowa State","Iowa State University, Ames, Iowa","0101000020E6100000B7BF69B05F6957C024FBD63D68034540"
21,"Kansas","University of Kansas, Lawrence, Kansas","0101000020E610000070FC9AF65ED057C08CD1DFF0277A4340"
22,"Kansas State","Kansas State University, Manhattan, Kansas","0101000020E61000000AAAFC216C2558C08F26CDD545994340"
23,"Kentucky","University of Kentucky, Lexington, Kentucky","0101000020E610000032EB200A412055C0100B1060EC034340"
24,"Liberty","Liberty University, Lynchburg, Virginia","0101000020E61000004F136C1272CB53C015E46723D7AC4240"
25,"Louisville","University of Louisville, Louisville, Kentucky","0101000020E6100000361C3B4D8B7055C0789CFDDC2B1B4340"
26,"LSU","Louisiana State University, Baton Rouge, Louisiana","0101000020E61000001BED5D2885CB56C04B500D45CB693E40"
27,"Marquette","Marquette University, Milwaukee, Wisconsin","0101000020E6100000774D486B8CFB55C0B763EAAEEC844540"
28,"Maryland","University of Maryland, College Park, Maryland","0101000020E6100000114D45CF523C53C07629BF56537E4340"
29,"Michigan","University of Michigan, Ann Arbor, Michigan","0101000020E61000009EA74B103FEF54C0596EC4EE96234540"
30,"Michigan State","Michigan State University, East Lansing, Michigan","0101000020E6100000366387E7DB1E55C0AA61BF27D6594540"
31,"Minnesota","University of Minnesota, Minneapolis, Minnesota","0101000020E61000007FF78E1A934E57C0C6504EB4AB7C4640"
32,"Mississippi State","Mississippi State University, Starkville, Mississippi","0101000020E61000002A4C84B2953256C03175FCBC4EBA4040"
33,"Montana","University of Montana, Missoula, Montana","0101000020E6100000465046A60D7F5CC0602E98AE166E4740"
34,"Murray State","Murray State University, Murray, Kentucky","0101000020E6100000E48EED6B931456C0B4626EADE54E4240"
35,"NC Central","North Carolina Central University, Durham, North Carolina","0101000020E610000024511ECC5CB953C060CC96AC8AFC4140"
36,"Nevada","University of Nevada, Reno, Reno, Nevada","0101000020E61000005CE333D93FF45DC09820D912A8C54340"
37,"New Mexico State","New Mexico State University, Las Cruces, New Mexico","0101000020E6100000123FB5B0DDAF5AC0B83A00E2AE234040"
38,"North Carolina","University of North Carolina at Chapel Hill, Chapel Hill, North Carolina","0101000020E6100000A0AF0FA100C353C02E60B829D4F34140"
39,"North Dakota State","North Dakota State University, Fargo, North Dakota","0101000020E6100000B3452D28673358C0C0208E1AB8724740"
40,"Northeastern","Northeastern University, Boston, Massachusetts","0101000020E610000097EC33C2B6C551C000F26FE18A2B4540"
41,"Northern Kentucky","Northern Kentucky University, Highland Heights, Kentucky","0101000020E610000064B14D2A9A1D55C0A702EE79FE834340"
42,"Ohio State","The Ohio State University, Columbus, Ohio","0101000020E6100000A4DEF87FFAC154C0FAB48AFED0014440"
43,"Oklahoma","The University of Oklahoma, Norman, Oklahoma","0101000020E61000004438C192865C58C0553AB3B85A9A4140"
44,"Old Dominion","Old Dominion University, Norfolk, Virginia","0101000020E6100000F6E2D583931353C035F8B13852714240"
45,"Ole Miss","University of Mississippi, Oxford, Mississippi","0101000020E6100000A6F0A0D9756256C053E5208DAF2E4140"
46,"Oregon","University of Oregon, Eugene, Oregon","0101000020E610000008066BF706C55EC06BCA5F6B00064640"
47,"Prairie View A&M","Prairie View A&M University, Prairie View, Texas","0101000020E6100000671B6E765AFF57C0A7052FFA0A183E40"
48,"Purdue","Purdue University, West Lafayette, Indiana","0101000020E61000001E1032DAF4BA55C0BE1182FA3B364440"
49,"Saint Louis","Saint Louis University, St. Louis, Missouri","0101000020E6100000F34295F5F68E56C01B7629BF56514340"
50,"Saint Mary's","Saint Mary's College of California, Moraga, California","0101000020E6100000F061404008875EC0A7BEE25FBAEB4240"
51,"Seton Hall","Seton Hall University, South Orange, New Jersey","0101000020E61000000C8A308FC68F52C0BE897CF20B5F4440"
52,"St. John's","St John's University, Jamaica, New York","0101000020E61000007C87365BD47252C0AB14F18C6C5C4440"
