sessionid,round,sitecity,sitestate,attendance,t1,t2,t3,t4,t1win,t2win,t3win,t4win,attnperteam,travelto,t1travelfrom,t2travelfrom,t3travelfrom,t4travelfrom,t1geom,t2geom,t3geom,t4geom,sitegeom,sitelat,sitelon,t1dist,t2dist,t3dist,t4dist,t1tositegeom,t2tositegeom,t3tositegeom,t4tositegeom
1,First Four,Dayton,OH,11784,Prairie View A&M,Fairleigh Dickinson,Belmont,Temple,loss,win,win,loss,2946,yes,yes,yes,yes,yes,,,,,,39.7589478,-84.1916069,,,,,,,,
2,First Four,Dayton,OH,11827,NC Central,North Dakota State,Arizona State,St. John's,loss,win,win,loss,2956.75,yes,yes,yes,yes,yes,,,,,,39.7589479,-84.191607,,,,,,,,
3,First Round,Des Moines,IA,16512,Louisville,Minnesota,Michigan State,Bradley,loss,win,win,loss,4128,yes,yes,no,no,yes,,,,,,41.5868353,-93.6249593,,,,,,,,
4,First Round,Hartford,CT,14838,Marquette,Murray State,Florida State,Vermont,loss,win,win,loss,3709.5,yes,yes,no,no,yes,,,,,,41.7658043,-72.6733723,,,,,,,,
5,First Round,Jacksonville,FL,12429,Maryland,Belmont,LSU,Yale,win,loss,win,loss,3107.25,yes,no,yes,no,yes,,,,,,30.3321838,-81.655651,,,,,,,,
6,First Round,Salt Lake City,UT,16576,Auburn,New Mexico State,Kansas,Northeastern,win,loss,win,loss,4144,yes,no,yes,no,yes,,,,,,40.7607793,-111.8910474,,,,,,,,
7,First Round,Des Moines,IA,16360,Nevada,Florida,Michigan,Montana,loss,win,win,loss,4090,yes,yes,no,no,yes,,,,,,41.5868353,-93.6249593,,,,,,,,
8,First Round,Hartford,CT,14695,Villanova,Saint Mary's,Purdue,Old Dominion,win,loss,win,loss,3673.75,yes,no,yes,no,yes,,,,,,41.7658043,-72.6733723,,,,,,,,
9,First Round,Jacksonville,FL,13495,Wofford,Seton Hall,Kentucky,Abilene Christian,win,loss,win,loss,3373.75,yes,no,yes,no,yes,,,,,,30.3321838,-81.655651,,,,,,,,
10,First Round,Salt Lake City,UT,16807,Gonzaga,Fairleigh Dickinson,Syracuse,Baylor,win,loss,loss,win,4201.75,yes,no,yes,yes,no,,,,,,40.7607793,-111.8910474,,,,,,,,
11,First Round,Columbia,SC,15417,Virginia,Gardner-Webb,Ole Miss,Oklahoma,win,loss,loss,win,3854.25,yes,no,yes,yes,no,,,,,,34.0007104,-81.0348144,,,,,,,,
12,First Round,Columbus,OH,19641,Tennessee,Colgate,Cincinnati,Iowa,win,loss,loss,win,4910.25,yes,no,yes,yes,no,,,,,,39.9611755,-82.9987942,,,,,,,,
13,First Round,Tulsa,OK,12352,Northern Kentucky,Texas Tech,Arizona State,Buffalo,loss,win,loss,win,3088,yes,yes,no,yes,no,,,,,,36.1539816,-95.992775,,,,,,,,
14,First Round,San Jose,CA,16576,Wisconsin,Oregon,Kansas State,UC Irvine,loss,win,loss,win,4144,yes,yes,no,yes,no,,,,,,37.3382082,-121.8863286,,,,,,,,
15,First Round,Columbia,SC,16219,Duke,North Dakota State,VCU,UCF,win,loss,loss,win,4054.75,yes,no,yes,yes,no,,,,,,34.0007104,-81.0348144,,,,,,,,
16,First Round,Columbus,OH,19426,North Carolina,Iona,Utah State,Washington,win,loss,loss,win,4856.5,yes,no,yes,yes,no,,,,,,39.9611755,-82.9987942,,,,,,,,
17,First Round,Tulsa,OK,12443,Ohio State,Iowa State,Georgia State,Houston,win,loss,loss,win,3110.75,yes,no,yes,yes,no,,,,,,36.1539816,-95.992775,,,,,,,,
18,First Round,San Jose,CA,12824,Virginia Tech,Saint Louis,Mississippi State,Liberty,win,loss,loss,win,3206,yes,no,yes,yes,no,,,,,,37.3382082,-121.8863286,,,,,,,,
19,Second Round,Des Moines,IA,16770,Michigan State,Minnesota,Michigan,Florida,win,loss,win,loss,4192.5,no,yes,yes,yes,yes,,,,,,41.5868353,-93.6249593,,,,,,,,
20,Second Round,Hartford,CT,15031,Florida State,Murray State,Villanova,Purdue,win,loss,loss,win,3757.75,no,yes,yes,yes,yes,,,,,,41.7658043,-72.6733723,,,,,,,,
21,Second Round,Jacksonville,FL,14250,Maryland,LSU,Wofford,Kentucky,loss,win,loss,win,3562.5,no,yes,yes,yes,yes,,,,,,30.3321838,-81.655651,,,,,,,,
22,Second Round,Salt Lake City,UT,17792,Gonzaga,Baylor,Auburn,Kansas,win,loss,win,loss,4448,no,yes,yes,yes,yes,,,,,,40.7607793,-111.8910474,,,,,,,,
23,Second Round,Columbia,SC,16332,Duke,UCF,Virginia,Oklahoma,win,loss,win,loss,4083,no,yes,yes,yes,yes,,,,,,34.0007104,-81.0348144,,,,,,,,
24,Second Round,Columbus,OH,19610,Tennessee,Iowa,North Carolina,Washington,win,loss,win,loss,4902.5,no,yes,yes,yes,yes,,,,,,39.9611755,-82.9987942,,,,,,,,
25,Second Round,Tulsa,OK,12606,Buffalo,Texas Tech,Ohio State,Houston,loss,win,loss,win,3151.5,no,yes,yes,yes,yes,,,,,,36.1539816,-95.992775,,,,,,,,
26,Second Round,San Jose,CA,14802,Virginia Tech,Liberty,Oregon,UC Irvine,win,loss,win,loss,3700.5,no,yes,yes,yes,yes,,,,,,37.3382082,-121.8863286,,,,,,,,
27,Sweet Sixteen,Anaheim,CA,16145,Gonzaga,Florida State,Texas Tech,Michigan,win,loss,win,loss,4036.25,yes,no,no,no,no,,,,,,33.8365932,-117.9143012,,,,,,,,
28,Sweet Sixteen,Kansas City,MO,17385,North Carolina,Auburn,Houston,Kentucky,loss,win,loss,win,4346.25,yes,no,no,no,no,,,,,,39.0997265,-94.5785667,,,,,,,,
29,Sweet Sixteen,Louisville,KY,19831,Virginia,Oregon,Purdue,Tennessee,win,loss,win,loss,4957.75,yes,no,no,no,no,,,,,,38.2526647,-85.7584557,,,,,,,,
30,Sweet Sixteen,Washington,DC,20006,Duke,Virginia Tech,LSU,Michigan State,win,loss,loss,win,5001.5,yes,no,no,no,no,,,,,,38.9071923,-77.0368707,,,,,,,,
31,Elite Eight,Anaheim,CA,15277,Gonzaga,Florida State,Texas Tech,Michigan,loss,-,win,-,3819.25,no,yes,yes,yes,yes,,,,,,33.8365932,-117.9143012,,,,,,,,
32,Elite Eight,Kansas City,MO,17174,North Carolina,Auburn,Houston,Kentucky,-,win,-,loss,4293.5,no,yes,yes,yes,yes,,,,,,39.0997265,-94.5785667,,,,,,,,
33,Elite Eight,Louisville,KY,21623,Virginia,Oregon,Purdue,Tennessee,win,-,loss,-,5405.75,no,yes,yes,yes,yes,,,,,,38.2526647,-85.7584557,,,,,,,,
34,Elite Eight,Washington,DC,20125,Duke,Virginia Tech,LSU,Michigan State,loss,-,-,win,5031.25,no,yes,yes,yes,yes,,,,,,38.9071923,-77.0368707,,,,,,,,
35,Final Four,Minneapolis,MN,72711,Virginia,Michigan State,Texas Tech,Auburn,win,loss,win,loss,18177.75,yes,no,no,no,no,,,,,,44.977753,-93.2650108,,,,,,,,
36,National Championship,Minneapolis,MN,72062,Virginia,Michigan State,Texas Tech,Auburn,win,-,loss,-,18015.5,no,yes,yes,yes,yes,,,,,,44.977754,-93.2650109,,,,,,,,
